2025-08-12 22:37:44 install libtcl8.6:amd64 <none> 8.6.16+dfsg-1
2025-08-12 22:37:44 status half-installed libtcl8.6:amd64 8.6.16+dfsg-1
2025-08-12 22:37:44 status unpacked libtcl8.6:amd64 8.6.16+dfsg-1
2025-08-12 22:37:44 install libxau6:amd64 <none> 1:1.0.11-1
2025-08-12 22:37:44 status half-installed libxau6:amd64 1:1.0.11-1
2025-08-12 22:37:44 status unpacked libxau6:amd64 1:1.0.11-1
2025-08-12 22:37:44 install libxdmcp6:amd64 <none> 1:1.1.5-1
2025-08-12 22:37:44 status half-installed libxdmcp6:amd64 1:1.1.5-1
2025-08-12 22:37:44 status unpacked libxdmcp6:amd64 1:1.1.5-1
2025-08-12 22:37:44 install libxcb1:amd64 <none> 1.17.0-2+b1
2025-08-12 22:37:44 status half-installed libxcb1:amd64 1.17.0-2+b1
2025-08-12 22:37:44 status unpacked libxcb1:amd64 1.17.0-2+b1
2025-08-12 22:37:45 install libx11-data:all <none> 2:1.8.12-1
2025-08-12 22:37:45 status half-installed libx11-data:all 2:1.8.12-1
2025-08-12 22:37:45 status unpacked libx11-data:all 2:1.8.12-1
2025-08-12 22:37:45 install libx11-6:amd64 <none> 2:1.8.12-1
2025-08-12 22:37:45 status half-installed libx11-6:amd64 2:1.8.12-1
2025-08-12 22:37:45 status unpacked libx11-6:amd64 2:1.8.12-1
2025-08-12 22:37:45 install libxrender1:amd64 <none> 1:0.9.12-1
2025-08-12 22:37:45 status half-installed libxrender1:amd64 1:0.9.12-1
2025-08-12 22:37:45 status unpacked libxrender1:amd64 1:0.9.12-1
